iter	Logloss
0	0.6387780335
1	0.6029031608
2	0.5744321085
3	0.5471171406
4	0.5241831295
5	0.5042785729
6	0.4801378568
7	0.4626034914
8	0.4503907966
9	0.4298401351
10	0.4182547327
11	0.4109870642
12	0.4032259504
13	0.396950962
14	0.39082784
15	0.3834641698
16	0.3778042012
17	0.3697310853
18	0.3656554865
19	0.3602658157
20	0.3570391848
21	0.3539444346
22	0.3464611197
23	0.3436908633
24	0.3401790087
25	0.334928133
26	0.3319442234
27	0.3294017119
28	0.3260758499
29	0.3232796335
30	0.3215175663
31	0.3196067396
32	0.3155980102
33	0.3124215986
34	0.3098836573
35	0.306209854
36	0.3040935656
37	0.3018050676
38	0.3002020677
39	0.2984354955
40	0.2958025796
41	0.2939764293
42	0.2919374206
43	0.2900535841
44	0.2881590004
45	0.2869891103
46	0.2858042528
47	0.2842779044
48	0.280919557
49	0.2785919107
50	0.2775130787
51	0.2766423476
52	0.2743199976
53	0.2729993446
54	0.2713891337
55	0.2700692313
56	0.2692522959
57	0.2679246647
58	0.2664357473
59	0.2647384387
60	0.263583612
61	0.262719411
62	0.2608914483
63	0.2598491583
64	0.2579037756
65	0.2567307821
66	0.2560457044
67	0.2552631575
68	0.2544443317
69	0.2531385678
70	0.2524385021
71	0.2503754599
72	0.2496893639
73	0.2487700285
74	0.2478582686
75	0.2462017264
76	0.2448092569
77	0.2435119668
78	0.2421264849
79	0.2412451568
80	0.2401783385
81	0.239383508
82	0.238663938
83	0.2379159211
84	0.2368463824
85	0.2360032546
86	0.2352604471
87	0.2344746329
88	0.2329407181
89	0.2318416459
90	0.2309747887
91	0.230289331
92	0.229395227
93	0.2287399748
94	0.2276938147
95	0.2271703482
96	0.2266476286
97	0.2260953972
98	0.2251706729
99	0.2245334284
100	0.2238707559
101	0.2233667973
102	0.222892151
103	0.2222798828
104	0.2217802298
105	0.2213830109
106	0.2206296476
107	0.2201391955
108	0.2195763308
109	0.2189563925
110	0.2184439037
111	0.2177195582
112	0.2167745802
113	0.2162282055
114	0.2157126025
115	0.2144154696
116	0.2136545068
117	0.2132011508
118	0.2127545521
119	0.2120186603
120	0.2112369082
121	0.2109776408
122	0.2102966889
123	0.2098885457
124	0.2091963283
125	0.2087770087
126	0.208233347
127	0.2074003226
128	0.2068365096
129	0.2060705328
130	0.2053959141
131	0.2052355087
132	0.2047075908
133	0.2036313433
134	0.2033292937
135	0.2027421066
136	0.2022461255
137	0.201970612
138	0.2014929178
139	0.2007497514
140	0.2003573391
141	0.200070907
142	0.1995314888
143	0.1989042984
144	0.1985224392
145	0.1983099698
146	0.1978179618
147	0.1974514163
148	0.1962806778
149	0.1958394974
150	0.1951139153
151	0.1946587008
152	0.1937731601
153	0.1931757467
154	0.1929561336
155	0.1925241842
156	0.1918193893
157	0.1913730891
158	0.19091657
159	0.1904478617
160	0.1899607709
161	0.1896825828
162	0.1892299959
163	0.1890427656
164	0.1886197925
165	0.1880533345
166	0.1876754685
167	0.1872627811
168	0.186969891
169	0.1865993988
170	0.1861668616
171	0.1858861148
172	0.1855833105
173	0.1852236318
174	0.1847688993
175	0.1844362285
176	0.1841973561
177	0.1836082568
178	0.183208983
179	0.1828296981
180	0.1824313618
181	0.1820350318
182	0.1815567471
183	0.1811751086
184	0.180952355
185	0.1801971361
186	0.1799345366
187	0.1794248933
188	0.1792081884
189	0.1787422274
190	0.1785026992
191	0.178237445
192	0.1779987024
193	0.1777263573
194	0.177272009
195	0.1769463549
196	0.1765936051
197	0.1763649912
198	0.1758235932
199	0.1756692562
200	0.1753468486
201	0.1749104917
202	0.1744825283
203	0.1741522669
204	0.1738664013
205	0.1730506576
206	0.1726104057
207	0.1722551915
208	0.1718337572
209	0.1715906932
210	0.1712569045
211	0.1707300338
212	0.1703185281
213	0.1700672743
214	0.1695277432
215	0.1693255285
216	0.1690618882
217	0.168558801
218	0.1683368123
219	0.1681806934
220	0.1678361192
221	0.1675190587
222	0.1672160234
223	0.1669113691
224	0.1667572214
225	0.1664512303
226	0.166202195
227	0.1658743144
228	0.1656365727
229	0.165376056
230	0.164976123
231	0.1647131142
232	0.1643704554
233	0.1641653565
234	0.1639104911
235	0.1636368757
236	0.1634479288
237	0.1632937924
238	0.1630435701
239	0.1626364199
240	0.1620814213
241	0.1618133635
242	0.1614099151
243	0.1612192344
244	0.1607072023
245	0.1603208828
246	0.1599725673
247	0.1596172486
248	0.1592773407
249	0.1590136933
250	0.1586652137
251	0.1583383485
252	0.1581870263
253	0.1579783745
254	0.1577663803
255	0.1573199617
256	0.1570893551
257	0.1568005412
258	0.1566465315
259	0.1563646444
260	0.1561406446
261	0.1559743224
262	0.1558318524
263	0.1556100013
264	0.1554655521
265	0.1551716167
266	0.1549182575
267	0.1544195985
268	0.1542157404
269	0.15402548
270	0.1538135144
271	0.1536214815
272	0.1534061179
273	0.1531523384
274	0.1528748912
275	0.1525876971
276	0.1524326918
277	0.1523018815
278	0.1520461053
279	0.1516666377
280	0.1513980087
281	0.1511924813
282	0.1509829551
283	0.150836402
284	0.1507038673
285	0.1504999304
286	0.1503606333
287	0.1501138135
288	0.1499453454
289	0.1495779444
290	0.1494113492
291	0.1492374143
292	0.1489169338
293	0.1487480326
294	0.1485198752
295	0.1483809181
296	0.1480820209
297	0.1479194969
298	0.1477641627
299	0.1475528367
300	0.1472602445
301	0.1471040247
302	0.1469728732
303	0.1468512329
304	0.146752956
305	0.1464729088
306	0.1462857993
307	0.1460382256
308	0.1457639953
309	0.1456074551
310	0.1453990789
311	0.1452365504
312	0.1447953483
313	0.1446201707
314	0.1443459844
315	0.1441359692
316	0.1440309825
317	0.1438505473
318	0.1435473374
319	0.1433192233
320	0.1431599567
321	0.1429155256
322	0.1426792134
323	0.1424548996
324	0.1422051283
325	0.1421032812
326	0.1419241699
327	0.1417935326
328	0.1416515096
329	0.1414832892
330	0.1412092013
331	0.1410836752
332	0.1408838556
333	0.1407569874
334	0.140546706
335	0.1402085466
336	0.139802306
337	0.1396691904
338	0.139576607
339	0.1394605765
340	0.1393729369
341	0.1391100919
342	0.1388776154
343	0.1386996983
344	0.138401463
345	0.1382344692
346	0.1379967449
347	0.137773634
348	0.1376579771
349	0.137424205
350	0.1372449301
351	0.1370254317
352	0.1368472022
353	0.1366717715
354	0.1364199505
355	0.1363101849
356	0.136141433
357	0.1360589772
358	0.1358620682
359	0.1356951715
360	0.1355830948
361	0.1354947933
362	0.1353937989
363	0.1350646437
364	0.1349611151
365	0.1348760956
366	0.1348152062
367	0.1346535966
368	0.1345010477
369	0.1344094353
370	0.1342107067
371	0.1340888618
372	0.1339506689
373	0.1336843348
374	0.1334885725
375	0.1333647623
376	0.1332853349
377	0.1331414954
378	0.1330041635
379	0.132842476
380	0.132751295
381	0.1326514404
382	0.1325423928
383	0.1323367787
384	0.1321650002
385	0.1320326229
386	0.1317851269
387	0.1316964525
388	0.1316232592
389	0.1314672016
390	0.1313970818
391	0.1313305654
392	0.1311608338
393	0.1310724959
394	0.1309292386
395	0.1307569815
396	0.1305384919
397	0.1302817247
398	0.1301634225
399	0.1300279083
400	0.1298322838
401	0.1296344812
402	0.1295654664
403	0.1293982576
404	0.1291702742
405	0.1290049342
406	0.1288502178
407	0.1284422728
408	0.1282394042
409	0.1281725459
410	0.1280386895
411	0.1278971109
412	0.1278467293
413	0.1277376183
414	0.1276401252
415	0.1274856144
416	0.1274294097
417	0.1272825127
418	0.1271707229
419	0.1269773903
420	0.1268968293
421	0.126818034
422	0.1266682905
423	0.1265901946
424	0.1264491395
425	0.1263558098
426	0.1262821624
427	0.1261804791
428	0.1260104511
429	0.1259424185
